"CIUDAD_CODIGO","COMUNA_CODIGO"
"1","79"
"6","1"
"7","46"
"8","70"
"10","46"
"12","13"
"14","23"
"15","76"
"16","72"
"18","47"
"19","58"
"24","145"
"27","13"
"29","270"
"31","74"
"34","22"
"38","53"
"40","62"
"41","78"
"46","63"
"50","5"
"51","81"
"53","60"
"55","44"
"57","29"
"59","66"
"63","64"
"67","56"
"67","57"
"72","49"
"73","166"
"78","69"
"79","74"
"90","62"
"91","65"
"94","48"
"100","45"
"102","71"
"105","101"
"109","69"
"111","247"
"114","282"
"115","54"
"121","59"
"122","70"
"123","72"
"124","68"
"126","82"
"129","74"
"130","80"
"133","75"
"134","291"
"134","292"
"134","293"
"134","294"
"134","295"
"134","296"
"134","297"
"134","298"
"134","299"
"134","300"
"134","301"
"134","302"
"134","303"
"134","304"
"134","305"
"134","306"
"134","307"
"134","308"
"134","309"
"134","310"
"134","311"
"134","312"
"134","313"
"134","314"
"134","315"
"134","316"
"134","317"
"134","318"
"134","319"
"134","320"
"134","321"
"134","322"
"134","323"
"134","324"
"134","325"
"134","326"
"134","327"
"134","328"
"134","329"
"134","330"
"134","331"
"134","332"
"134","333"
"134","334"
"134","335"
"134","336"
"134","337"
"134","338"
"134","339"
"134","340"
"134","341"
"134","342"
"137","50"
"139","53"
"145","59"
"149","104"
"150","55"
"151","291"
"151","292"
"151","293"
"151","294"
"151","295"
"151","296"
"151","297"
"151","298"
"151","299"
"151","300"
"151","301"
"151","302"
"151","303"
"151","304"
"151","305"
"151","306"
"151","307"
"151","308"
"151","309"
"151","310"
"151","311"
"151","312"
"151","313"
"151","314"
"151","315"
"151","316"
"151","317"
"151","318"
"151","319"
"151","320"
"151","321"
"151","322"
"151","323"
"151","324"
"151","325"
"151","326"
"151","327"
"151","328"
"151","329"
"151","330"
"151","331"
"151","332"
"151","333"
"151","334"
"151","335"
"151","336"
"151","337"
"151","338"
"151","339"
"151","340"
"151","341"
"151","342"
"153","124"
"155","208"
"156","11"
"158","228"
"160","25"
"161","66"
"162","69"
"165","71"
"167","67"
"168","47"
"171","77"
"179","32"
"180","56"
"186","67"
"230","77"
"237","82"
"241","80"
"249","61"
"272","13"
"301","52"
"302","51"
"303","73"
"304","13"
"305","49"
