"COMUNA_CODIGO","COMUNA_NOMBRE","COMUNA_CODIGO_PROVINCIA"
"2","Camarones","1"
"3","Putre","2"
"4","General Lagos","2"
"5","Iquique","3"
"6","Huara","3"
"7","Camiña","3"
"8","Colchane","3"
"9","Pica","3"
"10","Pozo Almonte","3"
"11","Tocopilla","4"
"12","María Elena","4"
"13","Calama","5"
"14","Ollagüe","5"
"15","San Pedro de Atacama","5"
"16","Antofagasta","6"
"17","Mejillones","6"
"18","Sierra Gorda","6"
"19","Taltal","6"
"20","Chañaral","7"
"21","Diego de Almagro","7"
"23","Caldera","8"
"24","Tierra Amarilla","8"
"25","Vallenar","9"
"26","Freirina","9"
"27","Huasco","9"
"28","Alto del Carmen","9"
"29","La Serena","10"
"30","La Higuera","10"
"31","Coquimbo","10"
"32","Andacollo","10"
"33","Vicuña","10"
"34","Paihuano","10"
"35","Ovalle","11"
"36","RíoHurtado","11"
"37","Monte Patria","11"
"38","Combarbalá","11"
"39","Punitaqui","11"
"40","Illapel","12"
"41","Salamanca","12"
"42","Los Vilos","12"
"43","Canela","12"
"44","La Ligua","13"
"45","Petorca","13"
"46","Cabildo","13"
"47","Zapallar","13"
"48","Papudo","13"
"49","Los Andes","14"
"50","San Esteban","14"
"51","Calle Larga","14"
"52","Rinconada","14"
"53","San Felipe","15"
"54","Putaendo","15"
"55","Santa María","15"
"56","Panquehue","15"
"57","Llaillay","15"
"58","Catemu","15"
"59","Quillota","16"
"60","La Cruz","16"
"61","Calera","16"
"62","Nogales","16"
"63","Hijuelas","16"
"64","Limache","16"
"65","Olmué","16"
"67","Viña Del Mar","17"
"68","Quintero","17"
"69","Puchuncaví","17"
"70","Quilpué","17"
"71","Villa Alemana","17"
"72","Casablanca","17"
"73","Juan Fernández","17"
"74","Con cón","17"
"75","San Antonio","18"
"76","Cartagena","18"
"77","El Tabo","18"
"78","El Quisco","18"
"79","Algarrobo","18"
"80","Santo Domingo","18"
"81","Isla de Pascua","19"
"82","Rancagua","20"
"83","Graneros","20"
"84","Mostazal","20"
"85","Codegua","20"
"86","Machalí","20"
"87","Olivar","20"
"88","Requínoa","20"
"89","Rengo","20"
"90","Malloa","20"
"91","Quinta De Tilcoco","20"
"92","San Vicente","20"
"93","Pichidegua","20"
"94","Peumo","20"
"95","Coltauco","20"
"96","Coínco","20"
"97","Doñihue","20"
"98","Las Cabras","20"
"99","San Fernando","21"
"100","Chimbarongo","21"
"101","Placilla","21"
"102","Nancagua","21"
"103","Chépica","21"
"104","Santa Cruz","21"
"105","Lolol","21"
"106","Pumanque","21"
"107","Palmilla","21"
"108","Peralillo","21"
"109","Pichilemu","22"
"110","Navidad","22"
"111","Litueche","22"
"112","La Estrella","22"
"113","Marchihue","22"
"114","Paredones","22"
"115","Curicó","23"
"116","Teno","23"
"117","Romeral","23"
"118","Molina","23"
"119","Sagrada Familia","23"
"120","Hualañé","23"
"121","Licantén","23"
"122","Vichuquén","23"
"123","Rauco","23"
"124","Talca","24"
"125","Pelarco","24"
"126","Río Claro","24"
"127","San Clemente","24"
"128","Maule","24"
"129","Empedrado","24"
"130","Pencahue","24"
"131","Constitución","24"
"132","Curepto","24"
"133","San Rafael","24"
"134","Linares","25"
"135","Yerbas Buenas","25"
"136","Colbún","25"
"137","Longaví","25"
"138","Parral","25"
"139","Retiro","25"
"140","Villa Alegre","25"
"141","San Javier","25"
"142","Cauquenes","26"
"143","Pelluhue","26"
"144","Chanco","26"
"145","Chillán","27"
"146","San Carlos","27"
"147","Ñiquén","27"
"148","San Fabián","27"
"149","Coihueco","27"
"150","Pinto","27"
"151","San Ignacio","27"
"152","El Carmen","27"
"153","Yungay","27"
"154","Pemuco","27"
"155","Bulnes","27"
"156","Quillón","27"
"157","Ránquil","27"
"158","Portezuelo","27"
"159","Coelemu","27"
"160","Trehuaco","27"
"161","Cobquecura","27"
"162","Quirihue","27"
"163","Ninhue","27"
"164","San Nicolás","27"
"165","Chillán Viejo","27"
"166","Los Angeles","28"
"167","Cabrero","28"
"168","Tucapel","28"
"169","Antuco","28"
"170","Quilleco","28"
"171","Santa Bárbara","28"
"172","Quilaco","28"
"173","Mulchén","28"
"174","Negrete","28"
"175","Nacimiento","28"
"176","Laja","28"
"177","San Rosendo","28"
"178","Yumbel","28"
"179","Concepción","29"
"180","Talcahuano","29"
"181","Penco","29"
"182","Tomé","29"
"183","Florida","29"
"184","Hualqui","29"
"185","Santa Juana","29"
"186","Lota","29"
"187","Coronel","29"
"188","San Pedro de la Paz","29"
"189","Chiguayante","29"
"190","Lebu","30"
"191","Arauco","30"
"192","Curanilahue","30"
"193","Los Alamos","30"
"194","Cañete","30"
"195","Contulmo","30"
"196","Tirúa","30"
"197","Angol","31"
"198","Renaico","31"
"199","Collipulli","31"
"200","Lonquimay","31"
"201","Curacautín","31"
"202","Ercilla","31"
"203","Victoria","31"
"204","Traiguén","31"
"205","Lumaco","31"
"206","Purén","31"
"207","Los Sauces","31"
"208","Temuco","32"
"209","Lautaro","32"
"210","Perquenco","32"
"211","Vilcún","32"
"212","Cunco","32"
"213","Melipeuco","32"
"214","Curarrehue","32"
"215","Pucón","32"
"216","Villarrica","32"
"217","Freire","32"
"218","Pitrufquén","32"
